 	R	p	m	throughput
	0  	1  	16  	1898026
 	0  	2  	16  	2311837
 	0  	4  	16  	2854071
 	0  	6  	16  	2802224
 	0  	8  	16  	2487340
 	0  	10  	16  	2270966
 	0  	1  	64  	1926081
 	0  	2  	64  	2343939
 	0  	4  	64  	2914210
 	0  	6  	64  	3032610
 	0  	8  	64  	2687854
 	0  	10  	64  	2528373
 	0  	1  	256  	1924573
 	0  	2  	256  	2395416
 	0  	4  	256  	3006962
 	0  	6  	256  	3149009
 	0  	8  	256  	2841008
 	0  	10  	256  	2657670
 	33  	1  	16  	1892581
 	33  	2  	16  	2499583
 	33  	4  	16  	3290285
 	33  	6  	16  	3315491
 	33  	8  	16  	2935610
 	33  	10  	16  	2807105
 	33  	1  	64  	1927921
 	33  	2  	64  	2544402
 	33  	4  	64  	3307743
 	33  	6  	64  	3493179
 	33  	8  	64  	3247411
 	33  	10  	64  	2843147
 	33  	1  	256  	1922419
 	33  	2  	256  	2585274
 	33  	4  	256  	3436317
 	33  	6  	256  	3670980
 	33  	8  	256  	3303560
 	33  	10  	256  	2959645
 	100  	1  	16  	1941865
 	100  	2  	16  	3447334
 	100  	4  	16  	6379277
 	100  	6  	16  	6637957
 	100  	8  	16  	6925727
 	100  	10  	16  	6901990
 	100  	1  	64  	1987333
 	100  	2  	64  	3487855
 	100  	4  	64  	6515054
 	100  	6  	64  	6740020
 	100  	8  	64  	6930597
 	100  	10  	64  	6881873
 	100  	1  	256  	1993710
 	100  	2  	256  	3480606
 	100  	4  	256  	6556174
 	100  	6  	256  	6749879
 	100  	8  	256  	6938110
 	100  	10  	256  	6921566
