 	R	p	m	throughput
	0  	1  	16  	19522
 	0  	2  	16  	17730
 	0  	4  	16  	14826
 	0  	6  	16  	15263
 	0  	8  	16  	14384
 	0  	10  	16  	18397
 	0  	1  	64  	17632
 	0  	2  	64  	14964
 	0  	4  	64  	18384
 	0  	6  	64  	10630
 	0  	8  	64  	14154
 	0  	10  	64  	10465
 	0  	1  	256  	16824
 	0  	2  	256  	14675
 	0  	4  	256  	14717
 	0  	6  	256  	10465
 	0  	8  	256  	11491
 	0  	10  	256  	10197
 	33  	1  	16  	25015
 	33  	2  	16  	25016
 	33  	4  	16  	21092
 	33  	6  	16  	25578
 	33  	8  	16  	15520
 	33  	10  	16  	22932
 	33  	1  	64  	27260
 	33  	2  	64  	20783
 	33  	4  	64  	21822
 	33  	6  	64  	14816
 	33  	8  	64  	14892
 	33  	10  	64  	21434
 	33  	1  	256  	14463
 	33  	2  	256  	21972
 	33  	4  	256  	16080
 	33  	6  	256  	28506
 	33  	8  	256  	23794
 	33  	10  	256  	21609
 	100  	1  	16  	3895550
 	100  	2  	16  	5683731
 	100  	4  	16  	10793355
 	100  	6  	16  	12279031
 	100  	8  	16  	13578727
 	100  	10  	16  	13605484
 	100  	1  	64  	3883046
 	100  	2  	64  	5692013
 	100  	4  	64  	10737490
 	100  	6  	64  	12063029
 	100  	8  	64  	13563251
 	100  	10  	64  	13546011
 	100  	1  	256  	3865737
 	100  	2  	256  	5674170
 	100  	4  	256  	10627311
 	100  	6  	256  	12177407
 	100  	8  	256  	13486923
 	100  	10  	256  	13323347
